DATE,BAMLC0A1CAAAEY
2005-02-01,4.3805000000000000
2005-03-01,4.7018181818181818
2005-04-01,4.6895454545454545
2005-05-01,4.5881818181818182
2005-06-01,4.4859090909090909
2005-07-01,4.6690909090909091
2005-08-01,4.7778260869565217
2005-09-01,4.6940909090909091
2005-10-01,4.9857142857142857
2005-11-01,5.1109090909090909
2005-12-01,5.0868181818181818
2006-01-01,5.0457142857142857
2006-02-01,5.2445000000000000
2006-03-01,5.3591304347826087
2006-04-01,5.5585000000000000
2006-05-01,5.6508695652173913
2006-06-01,5.7336363636363636
2006-07-01,5.7247619047619048
2006-08-01,5.5169565217391304
2006-09-01,5.3600000000000000
2006-10-01,5.3695454545454545
2006-11-01,5.2545454545454545
2006-12-01,5.2009523809523810
2007-01-01,5.3750000000000000
2007-02-01,5.3330000000000000
2007-03-01,5.1943478260869565
2007-04-01,5.2965000000000000
2007-05-01,5.3713636363636364
2007-06-01,5.6968181818181818
2007-07-01,5.6481818181818182
2007-08-01,5.4182608695652174
2007-09-01,5.3342857142857143
2007-10-01,5.2756521739130435
2007-11-01,4.9131818181818182
2007-12-01,4.9025000000000000
2008-01-01,4.5627272727272727
2008-02-01,4.5057142857142857
2008-03-01,4.4720000000000000
2008-04-01,4.6863636363636364
2008-05-01,4.9156521739130435
2008-06-01,5.1490476190476190
2008-07-01,5.1013043478260870
2008-08-01,5.0081818181818182
2008-09-01,5.4327272727272727
2008-10-01,6.7130434782608696
2008-11-01,6.2904761904761905
2008-12-01,5.3686363636363636
2009-01-01,5.3109090909090909
2009-02-01,5.7238095238095238
2009-03-01,6.8922727272727273
2009-04-01,4.7761904761904762
2009-05-01,4.7036363636363636
2009-06-01,4.5113636363636364
2009-07-01,4.0313043478260870
2009-08-01,3.9442857142857143
2009-09-01,3.6400000000000000
2009-10-01,3.5626086956521739
2009-11-01,3.4866666666666667
2009-12-01,3.5222727272727273
2010-01-01,3.4804761904761905
2010-02-01,3.4966666666666667
2010-03-01,3.4656521739130435
2010-04-01,3.4547619047619048
2010-05-01,3.1552380952380952
2010-06-01,3.1040909090909091
2010-07-01,2.8739130434782609
2010-08-01,2.4754545454545455
2010-09-01,2.4490909090909091
2010-10-01,2.2740909090909091
2010-11-01,2.4181818181818182
2010-12-01,2.7708695652173913
2011-01-01,2.8880952380952381
2011-02-01,3.0615000000000000
2011-03-01,2.9573913043478261
2011-04-01,2.9047619047619048
2011-05-01,2.6490909090909091
2011-06-01,2.5163636363636364
2011-07-01,2.4940909090909091
2011-08-01,2.2278260869565217
2011-09-01,2.1959090909090909
2011-10-01,2.3004761904761905
2011-11-01,2.1954545454545455
2011-12-01,2.3177272727272727
2012-01-01,2.0800000000000000
2012-02-01,1.9971428571428571
2012-03-01,2.0269565217391304
2012-04-01,1.9060000000000000
2012-05-01,1.8791304347826087
2012-06-01,1.8718181818181818
2012-07-01,1.6995454545454545
2012-08-01,1.6734782608695652
2012-09-01,1.6076190476190476
2012-10-01,1.5922727272727273
2012-11-01,1.5368181818181818
2012-12-01,1.5870000000000000
2013-01-01,2.0540909090909091
2013-02-01,2.0805000000000000
2013-03-01,2.0528571428571429
2013-04-01,1.9559090909090909
2013-05-01,2.0582608695652174
2013-06-01,2.4428571428571429
2013-07-01,2.7004347826086957
2013-08-01,2.8414285714285714
2013-09-01,2.8995238095238095
2013-10-01,2.7421739130434783
2013-11-01,2.8022727272727273
2013-12-01,2.8704761904761905
2014-01-01,2.8077272727272727
2014-02-01,2.7050000000000000
2014-03-01,2.7238095238095238
2014-04-01,2.6028571428571429
2014-05-01,2.5052173913043478
2014-06-01,2.5723809523809524
2014-07-01,2.5486956521739130
2014-08-01,2.4854545454545455
2014-09-01,2.5886363636363636
2014-10-01,2.5252173913043478
2014-11-01,2.5633333333333333
2014-12-01,2.5113636363636364
2015-01-01,2.2585714285714286
2015-02-01,2.3319047619047619
